split,split_index,dataset,config,task,row_index,prompt_length,prompt_sha256
train,0,longbench,qasper,qasper,43,4269,3e23baa29175954cee5d1f51cf844dad149f24f060433147151f4e309774e485
train,1,longbench,qasper,qasper,127,8227,e3a985d9b1680014cc48fa27d3803e909c44f70781003d6f3b22c486a1a82768
train,2,longbench,qasper,qasper,32,5826,7ceffd0fa559ef23bbe1e7edf917a93c5e382836d0b82c45755efb1c1ce9f4f2
train,3,longbench,qasper,qasper,51,5930,825f2f13587b8f7dea4456e3a438b60fd86e64c18b49285440e2684f23e21d14
train,4,longbench,qasper,qasper,82,3413,5320226f8e6986dca1a3c640a78f1b3961af986b308e83cf88e3ebf70b1eb9f0
train,5,longbench,qasper,qasper,171,5176,513a6d2d85ddbd03ca2542ebd448523dc9e7e1ebb994c695de126b3ed844a2fa
train,6,longbench,qasper,qasper,30,4022,a203f6774a48f2cf19ad4b1de2aca8482e95489f450de9dee3b3e1e065bed8f3
train,7,longbench,qasper,qasper,63,5186,24a5f9febdc86a2ba44f6226b19f7a48f670a72d694dc4713e285c54df975a22
train,8,longbench,qasper,qasper,113,10249,2c59853da71ca21db0d7d7dc64f10a75ebc0f9fa5fda38490e42d5f35fa20199
train,9,longbench,qasper,qasper,57,21311,99c28234531079e970747c153596e9d99f28c5afe288f6a7dfb65838f83bd717
train,10,longbench,qasper,qasper,77,5299,37104bb1108c5ffe259951c03a36c1133b069438db35af20e1ae51fdc3803536
train,11,longbench,qasper,qasper,115,3662,75af4d3e03395d250153328f7829db0f259ee710fc555c16e6627905b3c869d4
train,12,longbench,qasper,qasper,168,4291,b4012528b268fab4fe4996dcdd383beda0418348dd594727176767983413e7d2
train,13,longbench,qasper,qasper,15,17661,b3e173ac80d97de0a3a24428c655a783ec12f40a404c5feb84d7ef143378b00a
train,14,longbench,qasper,qasper,19,5982,45f88ddfe65aa5369a0990c29dec88e175d09f4b5e334655f83aac6a0f259848
train,15,longbench,qasper,qasper,84,5824,b5980d08284655e156fb060bd56b0ed1f430115a1bf7ca9ae5d7f8ebedeccbb6
train,16,longbench,qasper,qasper,173,3706,1f4fd5419e871801191127b801f9a64b387ede65b47940fedde17a83415c7b2e
train,17,longbench,qasper,qasper,190,7983,db3e5546398846284e0d865314a7b9f10fd637403480a48b88c1ca56c294feae
train,18,longbench,qasper,qasper,152,3337,87d52bf285938d8ff8e0494819d4075a96d9fa2a55d36236df0b1075d14d0b83
train,19,longbench,qasper,qasper,170,6682,91204be41b60a698a36802e3ba9cdcffa2818d64cb90dcca1a8e44755b87b0ec
train,20,longbench,qasper,qasper,119,4696,1d7c3403738dfb2e5d63ffa3c6f3089d9b24d244515b2d1f51c5b5253bddda23
train,21,longbench,qasper,qasper,18,5137,c75ea39725d9ae6235ef7005d16ace8f65dd8024a677e96c69817ba1e97e6be8
train,22,longbench,qasper,qasper,98,6627,ff3bf652a105b02a2e89d26f3586ce8b57a9ee48837320bd05cdda550fb73573
train,23,longbench,qasper,qasper,88,6742,3bea8f823e0ac1bcbe29baa0dd19f3862af36abbad87b329a38349b9aba8da37
