split,split_index,dataset,config,task,row_index,prompt_length,prompt_sha256
train,0,longbench,lcc,lcc,139,3365,4e6dd055ca218eea34335ecc5f44c30d7aa4db8bd626c4034a4eb3d537ccbae6
train,1,longbench,lcc,lcc,10,4401,01929a746ebd44f883042e36e69d47424a6fb51f134eead672f88ad390cb04d5
train,2,longbench,lcc,lcc,160,2913,6cbc6e6f51dd1281ec9a71bfee6aa589e03c7ce8d39e8f0912a11e15031bb639
train,3,longbench,lcc,lcc,381,6241,22485d11dbf3e06e3493bd94d998e62939a30879ccdaecdc400a6b48c83ec3aa
train,4,longbench,lcc,lcc,310,2903,fdfd2e40aa10ce40ab41a727ecc4b0a309dc7398240d377f36d153ef48a8dd77
train,5,longbench,lcc,lcc,104,8908,70a740f7348964e6f900b564f6e1ffd29cddfeb903c92a9eac55c70791e23ca5
train,6,longbench,lcc,lcc,63,2475,8dbeb8c60874c3aca9be53ee362a3a67624ca5106bea80aee649515be15a74cc
train,7,longbench,lcc,lcc,494,2747,0ad35bd16097e56b30116bff42789de9549d3309cb36bf90fc6130fe85d53ec5
train,8,longbench,lcc,lcc,408,2916,1443ae263e6c1d7b9eee8aff02fda0a1a7b53991e48835a043721c3fcc8f6de0
train,9,longbench,lcc,lcc,352,2364,6e3268d726eadfca84a271e4068e926c1f76fd994b61cda4fbb8a38254fed8d6
train,10,longbench,lcc,lcc,289,5170,08a2e83ab68d45c2d89940b250ebe721b519cd353805a49a01ca9c3a4cee22b5
train,11,longbench,lcc,lcc,211,3745,257ca3a478e14c0f7f683aa7216c523b30e6aae0ae30731d1c9fd11e2c8d14e3
train,12,longbench,lcc,lcc,184,2149,b02396eeef0ea7f2f3eca2b93a82c8ff6f49e35c67794b00431dd632b8a0e7bf
train,13,longbench,lcc,lcc,189,3382,9e57806ad5252e609c8201e673b08db41d478a64a25845d74981a2b78dfa1f9a
train,14,longbench,lcc,lcc,26,2912,5b0234e58c73700503c647e0a55153f1c2ce9bfdf3ab09719bbc28ea671c6fed
train,15,longbench,lcc,lcc,164,4993,92d542e65199254d33171508924ba36999af376c1dc95e473eb68d44f4f17fdf
train,16,longbench,lcc,lcc,443,9827,7087a8f66261fdc457d97eb1768d4b1774ba8fc6ce4f67f30b28d9873abae716
train,17,longbench,lcc,lcc,334,2264,ef85368f58885a40b2adc1087276b5baa1355eabfa6b70cd40854c875bd0d339
train,18,longbench,lcc,lcc,163,6159,6b37242a3f865e81eac0501827b16eef51da7628e2cda1a3be474a5a022d0996
train,19,longbench,lcc,lcc,259,2542,7a209e9e6e4b57b09d4eb01cf8e406ec4be0fe01d09afb8911edbe62777d2356
train,20,longbench,lcc,lcc,390,5527,60abc4c4641c32ab992357a4426562be3b07ea13960f9e90509f6eeda269c288
train,21,longbench,lcc,lcc,492,3253,6ee8e141cb440eefe5113e82ead18c33d58cc1ca75b9a4861b5d1de3268e57e3
train,22,longbench,lcc,lcc,477,2092,f47a32ac09bb3d89aa86d093a6f2a89b9e4536355782984ea29f05755a5c72fb
train,23,longbench,lcc,lcc,286,2681,562b89d41202d522c18b9aa66fc92792767eb6ea8b54cffab42575f4edc16d76
train,24,longbench,lcc,lcc,254,2141,6a0cad5180c74f0db352edc56f382a09e7e9b4e25092652a5e26a5c5f50036e6
train,25,longbench,lcc,lcc,489,2096,9b653ad0e3acea6dec350a57c2a804af6013016f64babb012c321fa574e0fdd4
train,26,longbench,lcc,lcc,179,3048,3045d5726b6f613a28b08115f3ae09182eadc3601e9cb55f101ed4d0fb30d028
train,27,longbench,lcc,lcc,109,2227,94bc318329cccf63730d1897d55c48d4fdb90905365061838d0099d99e7a1252
train,28,longbench,lcc,lcc,322,2975,6f12c81b12ab7c31fd2914643e46d9aa6b4ff9dbff966210f635aaff7bebc061
train,29,longbench,lcc,lcc,151,3156,65b064c05a0b6fe80cdde28ee2f3c022eda2867bf51ca63a9ab9205e9f9d823b
train,30,longbench,lcc,lcc,491,2477,e65c24aa9990f27c1f765dbdec8f25b33a900369406ea8d02e6e28e1f4fbcc47
train,31,longbench,lcc,lcc,222,3016,68234b692ad4836077c77e42720e8f020598c23ff9e303e11b61566543f72cc7
