split,split_index,dataset,config,task,row_index,prompt_length,prompt_sha256,messages_sha256
train,0,longbench,qasper,qasper,43,4350,a2078812cc615f43809095c1f4a15e3cabea7917568a4131c2b6f5fe8db8bb5d,1f2fa732a792f26ab0fd70dc3dd72a86c37749852c52f6c59076a9f9e20ae9d1
train,1,longbench,qasper,qasper,127,8286,98a9872e20067a31edebd8fba1694f8f60c74122d4a8593d9c72b39ed3f56cf9,fe33321035ef9707a0d91746c3858ea4131f1395f343b252f928c1803922b65e
train,2,longbench,qasper,qasper,32,5916,11fffb043311ff70da127646477538162edb45a53fba713eb0d280395d2fec5d,941dcb2af09690afb332794dc45a13f647d0530baf92d273ad56d30de374a450
train,3,longbench,qasper,qasper,51,6019,80478440f46d380bf72905f06ea43659e076baa158b5270a431369f2a292c59e,9d96b79078ee99b53d7ee4711c79ac49686eedb3c7d524724e56d98f0ad3e27e
train,4,longbench,qasper,qasper,82,3473,f98ed741f7ac9ded4aa0109097082ade25c72de47c94e8772d037df361644754,cde79fc12469f70c347ad80bb61a5f1a535da5599ccc565439d7d11aeb14ed79
train,5,longbench,qasper,qasper,171,5267,3e2ae7c351c34700e63eaa6e46367c388b18a6098c2ee63f3e57e2ae42cdefb4,4e508689d4383128aeb59ab50350174c359505901ddf2bc46af7164a6ed00d32
train,6,longbench,qasper,qasper,30,4102,bdda2e4c4be536f2f6486ca90974df3b6fb1d15ef3e0e0908b8a0488fcbfa013,34184caf1c7e52a70946e58f9cc7993f5e874a888e2fd1fcb986866598e4269e
train,7,longbench,qasper,qasper,63,5280,853aa4a7be80cec1f73e70645caaecb8512d6654fb9bd5f23e945add22493c7b,308836a5f18882ba1970966de2e5b9b50ea5c19014c5f29c17929ee5eea54818
train,8,longbench,qasper,qasper,113,10389,b17533fe18008a07620d7f42d1ec0de06c31964769407bbe77f6304f524aa6df,92b49a5dec9fe0847bba9aec70d96a85a9f8bea12466c7a45ce9355e31b0a2c6
train,9,longbench,qasper,qasper,57,22057,f871b0db4d25e829a46c8043965fcd33c6299a965e06bc7f79d8efa02bd24ad1,c4b2f70affaac100b5584b3d520586ae8f230016db2b30df30f86087a01071ee
train,10,longbench,qasper,qasper,77,5432,5a37e1d05084ae491512826e9a16824df08abc58f1322640f5413cfc1ac59f0c,38304f4a8d095970daecf30d96279100356c4597e3535d47924ee806a28c905f
train,11,longbench,qasper,qasper,115,3753,8614ee3f43d813a7120442a6ca42b8f26631560cd5b0fb8a3a249c1ef542dc99,48b92db4eb15ca667320657479ad7e8fff21634751fc0539a5e5abe1c4b2fcb1
train,12,longbench,qasper,qasper,168,4383,494ddc8a6e0e99c842dad292a3ab300479307e004a8dcc0459dbf27a0183c1c2,98bb5fed6f5d738e7219d04353b3a1bc3f22ecd3911e415844c7dfb00700b2b9
train,13,longbench,qasper,qasper,15,17941,033e63e5dfa73ef0fa85a2ac3177652cdb789b2513416a6410192414748ee31c,1622e8f1c1516ed8b8bc542446d8f447e8808066b97a51a5a2b9525bd0535854
train,14,longbench,qasper,qasper,19,6048,2b3b86dd3dc7082d2f566bb9cec8d3c4f6f0b0358709fd8dc29f753ab8813713,9233ec21569ac89915bc15b589163a5bf72d324fd4555ba9fa6209975c25707a
train,15,longbench,qasper,qasper,84,5914,91b2b6e74c4948987984998bb615fb325b23fb1afe671d5823b81e8695f4da87,56788c789e6a47a7e56771d9b80589f53601d75970b3cf601fb89d5e7941075c
train,16,longbench,qasper,qasper,173,3762,8948d0029e682aafc1ce1b0e599d148cbe55f7df22642d0a429475f730de2012,71b7706646ec25774d42b10a51c2f827e242a541d39d6500033990b87360bc63
train,17,longbench,qasper,qasper,190,8182,d981679ca121693fa00bf303dba52f4359078624f7930c4eaa81b962f5950c75,4516139e3e56df48f1407625b8c9f7d714e23e6b313224b36f8f12bd31543d7c
train,18,longbench,qasper,qasper,152,3338,77bfa12f4c20029b2e9c00e2d32bb9f82ba068e61508448c62d9e0ad8b8c94b5,48021548a1d30581f7ae212c7e58beef9b72849565a566a90acb462557da8ea1
train,19,longbench,qasper,qasper,170,6786,080052d6a32761eeb841480ff1488713515cd3a4680a43f8d0eb5b63664ce0b8,fb9bf454a2302259a04ec7f9d9c754776fc74c9772564b2acd271fc1d5076775
train,20,longbench,qasper,qasper,119,4733,4a57513c4a152b732ac64a466b71cd4d62d6514d50a8db8866f036eb6d8f68a2,8d5729993f00c405a8e0fc66e9fa8caabf063a6c0355daeb3c1d2b9b5278cb4e
train,21,longbench,qasper,qasper,18,5151,413ba01f3c99a1fc29846072cff85286cd2965f9f6617363d9cae9012597b101,d792ce2d1561c609368beb1298bffc260e4d90903b72c48dfe27679847366710
train,22,longbench,qasper,qasper,98,6714,785ceb7ee07dda8b4d20ed6004a83d2eb452bd81c1b8d130edfe627d54d5f3b2,c1d57c727902ab39aa8e74c8e725977af1133b2b1e51b59f1d1dc3e5d5755cc2
